XGBOOST MODEL - DIABETES CLASSIFIER
TREE_0: F_IDX=0 LIM=0.0000 WL=-0.0614 WR=0.0092
TREE_1: F_IDX=13 LIM=0.2500 WL=-0.0610 WR=0.0065
TREE_2: F_IDX=0 LIM=0.0000 WL=-0.0568 WR=0.0095
TREE_3: F_IDX=13 LIM=0.2500 WL=-0.0566 WR=0.0069
TREE_4: F_IDX=0 LIM=0.0000 WL=-0.0527 WR=0.0097
TREE_5: F_IDX=0 LIM=0.0000 WL=-0.0504 WR=0.0092
TREE_6: F_IDX=13 LIM=0.2500 WL=-0.0515 WR=0.0078
TREE_7: F_IDX=13 LIM=0.2500 WL=-0.0493 WR=0.0074
TREE_8: F_IDX=0 LIM=0.0000 WL=-0.0461 WR=0.0098
TREE_9: F_IDX=13 LIM=0.2500 WL=-0.0462 WR=0.0075
TREE_10: F_IDX=0 LIM=0.0000 WL=-0.0432 WR=0.0097
TREE_11: F_IDX=13 LIM=0.2500 WL=-0.0434 WR=0.0076
TREE_12: F_IDX=0 LIM=0.0000 WL=-0.0406 WR=0.0097
TREE_13: F_IDX=13 LIM=0.2500 WL=-0.0409 WR=0.0076
TREE_14: F_IDX=0 LIM=0.0000 WL=-0.0382 WR=0.0096
TREE_15: F_IDX=13 LIM=0.2500 WL=-0.0386 WR=0.0076
TREE_16: F_IDX=0 LIM=0.0000 WL=-0.0360 WR=0.0094
TREE_17: F_IDX=1 LIM=0.0000 WL=-0.0335 WR=0.0113
TREE_18: F_IDX=3 LIM=0.1860 WL=-0.0319 WR=0.0126
TREE_19: F_IDX=13 LIM=0.5000 WL=-0.0225 WR=0.0283
TREE_20: F_IDX=1 LIM=0.0000 WL=-0.0310 WR=0.0115
TREE_21: F_IDX=3 LIM=0.1744 WL=-0.0324 WR=0.0101
TREE_22: F_IDX=13 LIM=0.2500 WL=-0.0333 WR=0.0089
TREE_23: F_IDX=0 LIM=0.0000 WL=-0.0310 WR=0.0104
TREE_24: F_IDX=3 LIM=0.2209 WL=-0.0215 WR=0.0221
TREE_25: F_IDX=13 LIM=0.5000 WL=-0.0191 WR=0.0271
TREE_26: F_IDX=1 LIM=0.0000 WL=-0.0273 WR=0.0122
TREE_27: F_IDX=3 LIM=0.1744 WL=-0.0283 WR=0.0105
TREE_28: F_IDX=0 LIM=0.0000 WL=-0.0279 WR=0.0106
TREE_29: F_IDX=13 LIM=0.2500 WL=-0.0290 WR=0.0095
TREE_30: F_IDX=18 LIM=0.4167 WL=-0.0404 WR=0.0043
TREE_31: F_IDX=1 LIM=0.0000 WL=-0.0246 WR=0.0122
TREE_32: F_IDX=3 LIM=0.2209 WL=-0.0179 WR=0.0216
TREE_33: F_IDX=13 LIM=0.5000 WL=-0.0157 WR=0.0259
TREE_34: F_IDX=18 LIM=0.4167 WL=-0.0380 WR=0.0047
TREE_35: F_IDX=3 LIM=0.1744 WL=-0.0246 WR=0.0110
TREE_36: F_IDX=13 LIM=0.2500 WL=-0.0256 WR=0.0097
TREE_37: F_IDX=18 LIM=0.5000 WL=-0.0293 WR=0.0076
TREE_38: F_IDX=1 LIM=0.0000 WL=-0.0217 WR=0.0123
TREE_39: F_IDX=3 LIM=0.2093 WL=-0.0169 WR=0.0180
